,0
155,7.214006306367367
156,7.535367570399093
157,7.281055142430538
158,6.615628522691898
159,7.190043783550314
160,7.2829358760560865
161,7.065054863866647
162,7.049315296598725
163,6.6687791294814325
164,6.991270492774483
165,6.966756292022923
166,7.016381259562632
167,7.231943171087945
168,7.710237950561115
169,6.916758671026839
170,6.914735043563111
171,6.659361306158791
172,6.857566670243973
173,6.801248985898361
174,7.311425812826188
175,8.07524501809099
176,7.997279140549834
177,7.654176886115905
178,7.495935665901335
179,7.48600727429087
180,7.640394068292998
181,7.7920153246671955
182,8.38842389293224
183,8.992665579007745
184,7.814504471814341
185,6.942011254087498
186,7.004501441014618
187,6.717953654791292
188,5.480769324235311
189,5.342015670457202
190,5.504815961236951
191,5.297149168149412
192,5.227710883173671
193,5.898182286242357
194,5.68591129715988
195,5.238776052932583
196,5.335835908306071
197,4.818797545098119
198,5.723386537113378
199,6.25236780809311
200,5.836330120060487
201,5.51969386184412
202,6.270265951360829
203,6.185000828591278
204,5.937508274866796
205,5.84910271906395
206,7.0553512821611575
207,7.938463975135116
208,7.189431487158657
209,6.572796510782922
210,6.77977381915599
211,6.320540083103725
212,6.742595952999624
213,6.552689106634564
214,6.188805422428064
215,6.5141051443939695
216,6.746887095037151
217,6.11207831220339
218,6.837485877254217
219,7.122482671957819
220,6.786552670557791
221,7.125753779446846
222,7.190604886136566
223,6.727467647495899
224,6.963814662565333
225,6.1620206083998035
226,6.80688019398572
227,7.063995897468937
228,6.807985307896237
229,6.977031218085008
230,6.928794952873556
231,6.671788377140029
232,6.245834960311975
233,5.690381550900369
234,6.875597116531689
235,7.136783502517979
236,7.551812740901553
237,7.688546151048447
238,8.206767502043142
239,7.954165086531906
240,7.511665893665041
241,8.077847338541678
242,8.415193724711573
243,7.879453666526995
244,8.86438537484287
245,8.368029401789872
246,7.849281533228906
247,7.32826268907662
248,8.081713236147797
249,7.141295695941509
250,7.227715675113375
251,7.237151207616736
252,7.9571635252002935
253,7.909690168905609
254,7.541188572842213
255,7.460577229616765
256,7.596472206775833
257,7.038440845522608
258,6.8263038434164045
259,6.852278183099634
260,7.515034204030227
261,7.677486739215221
262,7.440899844965513
263,8.0353259122417
264,7.775357414469869
265,7.40006375675571
266,7.4888063577280075
267,8.299581582230909
268,9.230817684321774
269,9.818816302949552
270,9.7023893608869
271,10.288509201504366
272,10.829689985909805
273,11.125672185514683
274,10.494071332221218
275,10.283576774815327
276,10.949301284646978
277,10.652370016557771
278,9.535314077801376
279,10.553091998809144
280,11.174518454799259
281,11.916759575343878
282,12.468319603910171
283,11.593297488460177
284,12.621680543140025
285,13.07643462233177
286,13.325953172963152
287,13.334253939364832
288,12.637914042542173
289,12.120623841581892
290,11.938082354017038
291,12.427302837846671
292,12.25584032392561
293,13.367714138039485
294,14.399654737362198
295,14.314665285503647
296,15.407070612388678
297,15.394638907175022
298,14.66515052713957
299,14.56866927367155
300,16.222462509638174
301,16.738539941290345
302,17.376323931715824
303,17.002825086459328
304,17.53769088827933
305,17.56580797380414
306,16.87179103750943
307,17.23281626479834
308,17.114067575005862
309,18.0849724982737
310,15.867997628733558
311,14.579323740522462
312,14.999562934439137
313,16.602655881037656
314,16.991380182645024
315,16.700905346835256
316,16.357131465705525
317,16.44021643046162
318,17.268325255130566
319,17.340863823652107
320,18.025724507594404
321,17.07547876966757
322,17.205172595687173
323,16.596521349106773
324,16.399162855219036
325,19.13559645505279
326,23.351914318030527
327,25.550198422006705
328,28.063179023606008
329,27.544960649711793
330,26.795287287640345
