,ts_code,symbol,name,area,industry
165,000589.SZ,000589,贵州轮胎,贵州,汽车配件
166,000590.SZ,000590,启迪药业,湖南,中成药
167,000591.SZ,000591,太阳能,重庆,新型电力
168,000592.SZ,000592,平潭发展,福建,林业
169,000593.SZ,000593,大通燃气,四川,供气供热
170,000595.SZ,000595,宝塔实业,宁夏,机械基件
171,000596.SZ,000596,古井贡酒,安徽,白酒
172,000597.SZ,000597,东北制药,辽宁,化学制药
173,000598.SZ,000598,兴蓉环境,四川,水务
174,000599.SZ,000599,青岛双星,山东,汽车配件
175,000600.SZ,000600,建投能源,河北,火力发电
176,000601.SZ,000601,韶能股份,广东,水力发电
177,000603.SZ,000603,盛达资源,北京,铅锌
178,000605.SZ,000605,渤海股份,北京,水务
179,000606.SZ,000606,ST顺利,青海,互联网
180,000607.SZ,000607,华媒控股,浙江,广告包装
181,000608.SZ,000608,阳光股份,广西,区域地产
182,000609.SZ,000609,*ST中迪,北京,区域地产
183,000610.SZ,000610,西安旅游,陕西,旅游服务
184,000611.SZ,000611,*ST天首,内蒙,商贸代理
185,000612.SZ,000612,焦作万方,河南,铝
186,000613.SZ,000613,*ST东海A,海南,旅游服务
187,000615.SZ,000615,奥园美谷,湖北,区域地产
188,000616.SZ,000616,ST海投,辽宁,全国地产
189,000617.SZ,000617,中油资本,新疆,多元金融
190,000619.SZ,000619,海螺型材,安徽,其他建材
191,000620.SZ,000620,新华联,北京,全国地产
192,000622.SZ,000622,恒立实业,湖南,汽车配件
193,000623.SZ,000623,吉林敖东,吉林,中成药
194,000625.SZ,000625,长安汽车,重庆,汽车整车
195,000626.SZ,000626,远大控股,江苏,商贸代理
196,000627.SZ,000627,天茂集团,湖北,保险
197,000628.SZ,000628,高新发展,四川,园区开发
198,000629.SZ,000629,攀钢钒钛,四川,小金属
199,000630.SZ,000630,铜陵有色,安徽,铜
200,000631.SZ,000631,顺发恒业,吉林,区域地产
201,000632.SZ,000632,三木集团,福建,综合类
202,000633.SZ,000633,合金投资,新疆,综合类
203,000635.SZ,000635,英力特,宁夏,化工原料
204,000636.SZ,000636,风华高科,广东,元器件
205,000637.SZ,000637,茂化实华,广东,石油加工
206,000638.SZ,000638,*ST万方,吉林,软件服务
207,000639.SZ,000639,西王食品,山东,食品
208,000650.SZ,000650,仁和药业,江西,中成药
209,000651.SZ,000651,格力电器,广东,家用电器
210,000652.SZ,000652,泰达股份,天津,批发业
211,000655.SZ,000655,金岭矿业,山东,普钢
212,000656.SZ,000656,金科股份,重庆,区域地产
213,000657.SZ,000657,中钨高新,海南,小金属
214,000659.SZ,000659,珠海中富,广东,广告包装
215,000661.SZ,000661,长春高新,吉林,生物制药
216,000663.SZ,000663,永安林业,福建,林业
217,000665.SZ,000665,湖北广电,湖北,影视音像
218,000666.SZ,000666,经纬纺机,北京,多元金融
219,000667.SZ,000667,美好置业,云南,全国地产
220,000668.SZ,000668,荣丰控股,山东,区域地产
221,000669.SZ,000669,ST金鸿,吉林,供气供热
222,000671.SZ,000671,阳光城,福建,区域地产
223,000672.SZ,000672,上峰水泥,甘肃,水泥
224,000673.SZ,000673,*ST当代,山西,影视音像
225,000676.SZ,000676,智度股份,河南,互联网
226,000677.SZ,000677,恒天海龙,山东,化纤
227,000678.SZ,000678,襄阳轴承,湖北,汽车配件
228,000679.SZ,000679,大连友谊,辽宁,百货
229,000680.SZ,000680,山推股份,山东,工程机械
230,000681.SZ,000681,视觉中国,江苏,互联网
231,000682.SZ,000682,东方电子,山东,电气设备
232,000683.SZ,000683,远兴能源,内蒙,化工原料
233,000685.SZ,000685,中山公用,广东,水务
234,000686.SZ,000686,东北证券,吉林,证券
235,000687.SZ,000687,*ST华讯,深圳,通信设备
236,000688.SZ,000688,国城矿业,重庆,铅锌
237,000690.SZ,000690,宝新能源,广东,火力发电
238,000691.SZ,000691,亚太实业,甘肃,化工原料
239,000692.SZ,000692,惠天热电,辽宁,供气供热
240,000695.SZ,000695,滨海能源,天津,广告包装
241,000697.SZ,000697,炼石航空,陕西,航空
242,000698.SZ,000698,沈阳化工,辽宁,化工原料
243,000700.SZ,000700,模塑科技,江苏,汽车配件
244,000701.SZ,000701,厦门信达,福建,综合类
245,000702.SZ,000702,正虹科技,湖南,饲料
246,000703.SZ,000703,恒逸石化,广西,化纤
247,000705.SZ,000705,浙江震元,浙江,医药商业
248,000707.SZ,000707,*ST双环,湖北,化工原料
249,000708.SZ,000708,中信特钢,湖北,特种钢
250,000709.SZ,000709,河钢股份,河北,普钢
251,000710.SZ,000710,贝瑞基因,四川,医疗保健
252,000711.SZ,000711,京蓝科技,黑龙江,环境保护
253,000712.SZ,000712,锦龙股份,广东,证券
254,000713.SZ,000713,丰乐种业,安徽,种植业
255,000715.SZ,000715,中兴商业,辽宁,百货
256,000716.SZ,000716,黑芝麻,广西,食品
257,000717.SZ,000717,韶钢松山,广东,普钢
258,000718.SZ,000718,苏宁环球,吉林,区域地产
259,000719.SZ,000719,中原传媒,河南,出版业
260,000720.SZ,000720,新能泰山,山东,区域地产
261,000721.SZ,000721,西安饮食,陕西,酒店餐饮
262,000722.SZ,000722,湖南发展,湖南,水力发电
263,000723.SZ,000723,美锦能源,山西,焦炭加工
264,000725.SZ,000725,京东方A,北京,元器件
265,000726.SZ,000726,鲁泰A,山东,纺织
266,000727.SZ,000727,冠捷科技,江苏,元器件
267,000728.SZ,000728,国元证券,安徽,证券
268,000729.SZ,000729,燕京啤酒,北京,啤酒
269,000731.SZ,000731,四川美丰,四川,农药化肥
270,000732.SZ,000732,泰禾集团,福建,区域地产
271,000733.SZ,000733,振华科技,贵州,元器件
272,000735.SZ,000735,罗牛山,海南,农业综合
273,000736.SZ,000736,中交地产,重庆,全国地产
274,000737.SZ,000737,南风化工,山西,日用化工
275,000738.SZ,000738,航发控制,江苏,航空
276,000739.SZ,000739,普洛药业,浙江,化学制药
277,000750.SZ,000750,国海证券,广西,证券
278,000751.SZ,000751,锌业股份,辽宁,铅锌
279,000752.SZ,000752,*ST西发,西藏,啤酒
280,000753.SZ,000753,漳州发展,福建,汽车服务
281,000755.SZ,000755,山西路桥,山西,路桥
282,000756.SZ,000756,新华制药,山东,化学制药
283,000757.SZ,000757,浩物股份,四川,汽车配件
284,000758.SZ,000758,中色股份,北京,铅锌
285,000759.SZ,000759,中百集团,湖北,超市连锁
286,000761.SZ,000761,本钢板材,辽宁,普钢
287,000762.SZ,000762,西藏矿业,西藏,小金属
288,000766.SZ,000766,通化金马,吉林,化学制药
289,000767.SZ,000767,晋控电力,山西,火力发电
290,000768.SZ,000768,中航西飞,陕西,航空
291,000776.SZ,000776,广发证券,广东,证券
292,000777.SZ,000777,中核科技,江苏,机械基件
293,000778.SZ,000778,新兴铸管,河北,钢加工
294,000779.SZ,000779,甘咨询,甘肃,建筑工程
295,000780.SZ,000780,ST平能,内蒙,煤炭开采
296,000782.SZ,000782,美达股份,广东,化纤
297,000783.SZ,000783,长江证券,湖北,证券
298,000785.SZ,000785,居然之家,湖北,百货
299,000786.SZ,000786,北新建材,北京,其他建材
300,000788.SZ,000788,北大医药,重庆,化学制药
301,000789.SZ,000789,万年青,江西,水泥
302,000790.SZ,000790,华神科技,四川,中成药
303,000791.SZ,000791,甘肃电投,甘肃,水力发电
304,000792.SZ,000792,盐湖股份,青海,化工原料
305,000793.SZ,000793,华闻集团,海南,出版业
306,000795.SZ,000795,英洛华,浙江,矿物制品
307,000796.SZ,000796,凯撒旅业,海南,旅游服务
308,000797.SZ,000797,中国武夷,福建,全国地产
309,000798.SZ,000798,中水渔业,北京,渔业
310,000799.SZ,000799,酒鬼酒,湖南,白酒
311,000800.SZ,000800,一汽解放,吉林,汽车整车
312,000801.SZ,000801,四川九洲,四川,家用电器
